status,n_gene,n_zellen,n_paare,seed,nziehungen,S1_beobachtet,S1_null_mittel,S1_null_sd,S1_z,S1_p,S1_mde80,S2_beobachtet,S2_null_mittel,S2_null_sd,S2_z,S2_p,S2_mde80,S3a_beobachtet,S3a_null_mittel,S3a_null_sd,S3a_z,S3a_p,S3a_mde80,S3b_beobachtet,S3b_null_mittel,S3b_null_sd,S3b_z,S3b_p,S3b_mde80,groesse,n_spender,studien
ok,159.0,7,19.0,20260822.0,20000.0,0.3488606447112863,0.2731427550326946,0.0252295216724337,3.001162315388737,0.0027998600069996,0.3437854157155092,0.4596116233451798,0.3842518987193717,0.0202586246683905,3.719883548827073,9.99950002499875e-05,0.4409760477908651,0.7349505840071878,0.5151263701707097,0.020709698903496,10.614553831073303,9.99950002499875e-05,0.5731135271004986,0.5723270440251572,0.4849650494159929,0.0208658854357734,4.186833809572571,9.99950002499875e-05,0.5433895286361586,Programm,5.0,GSE218101|GSE247491|GSE247528|LAMA5_USC
zu wenige geeichte Zellen,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laesionsantwort,,
ok,172.0,6,13.0,20260822.0,20000.0,0.0887110804403026,0.0536389806157153,0.0243489612641575,1.4403940867988705,0.1532923353832308,0.1218160721553565,0.3198389922880956,0.2638584174471843,0.017499591271287,3.198964705693617,0.0040997950102494,0.312857273006788,0.6162790697674418,0.4888869670542635,0.017174253165641,7.417621103201151,9.99950002499875e-05,0.5369748759180585,0.3808139534883721,0.3483848837209302,0.0210402464111877,1.5412875464328388,0.1303934803259837,0.4072975736722558,Engineering-Antwort,4.0,GSE247491|GSE247528|LAMA5_USC
